,id,title,x_pos,y_pos,shape,creator,num,comment,timestamp,modifiable,CAM
0, ,Depressivität,158.99,468.995,neutral,6,9.0, ,,0,346
1, ,soziale Isolierung,21.9896,240.99200000000002,neutral,6,3.0, ,,0,346
2, ,physische Isolierung,19.9922,465.99,neutral,6,2.0, ,,0,346
3, ,Zusammenhalt,20.0,20.0,neutral,6,8.0, ,,0,346
4, ,Corona-Pandemie,540.99,215.995,neutral,6,1.0, ,,0,346
5, ,Angst,21.9896,130.0,neutral,6,7.0, ,,0,346
6, ,Einsamkeit,19.9896,353.99,neutral,6,10.0, ,,0,346
7, ,Stress,161.0,20.0,neutral,6,6.0, ,,0,346
8, ,psychische Belastung,159.99,244.99,neutral,6,5.0, ,,0,346
9, ,Befinden,161.0,131.997,neutral,6,4.0, ,,0,346
10, ,wirtschaftliche Folgen,157.99200000000002,356.99199999999996,neutral,6,11.0, ,,0,346
