,id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
0, ,1869,1886,Dashed-Strong,6,0,none,17:38:32,346
1, ,1875,1885,Solid,6,0,none,17:36:55,346
2, ,1868,1884,Solid,6,0,uni,17:36:26,346
3, ,1875,1884,Solid,6,0,uni,17:36:22,346
4, ,1869,1884,Solid,6,0,uni,17:36:13,346
5, ,1869,1874,Dashed,6,0,uni,17:34:47,346
6, ,1874,1883,Dashed,6,0,none,17:34:36,346
7, ,1869,1883,Dashed,6,0,none,17:34:31,346
8, ,1882,1883,Dashed,6,0,none,17:34:27,346
9, ,1874,1873,Dashed,6,0,none,17:33:10,346
10, ,1874,1882,Dashed-Strong,6,0,uni,17:33:40,346
11, ,1873,1882,Dashed-Strong,6,0,uni,17:33:36,346
12, ,1868,1881,Solid-Weak,6,0,none,17:30:52,346
13, ,1871,1870,Dashed-Strong,6,0,none,17:30:08,346
14, ,1875,1872,Solid-Weak,6,0,uni,17:29:28,346
15, ,1875,1870,Dashed-Strong,6,0,none,17:29:34,346
16, ,1875,1867,Dashed-Strong,6,0,none,17:29:40,346
17, ,1870,1867,Dashed,6,0,none,17:29:10,346
18, ,1868,1867,Dashed,6,0,none,17:29:06,346
19, ,1868,1865,Dashed,6,0,none,17:28:52,346
20, ,1870,1868,Dashed,6,0,none,17:28:34,346
21, ,1865,1871,Dashed-Strong,6,0,uni,17:26:20,346
22, ,1865,1871,Dashed,6,0,uni,17:26:03,346
23, ,1870,1880,Dashed-Weak,6,0,uni,17:24:00,346
24, ,1871,1866,Dashed,6,0,none,17:22:27,346
